"Listing Number","Cumulative DOM","Days On Market","Short Address","Baths - Full","Baths - Half","Cancel Date","Listing Date","List Price","Front Exp","Expiration Date","Parcel ID","Sold Date","Sold Price","SqFt - Living","SqFt - Total","Under Contract Date","Withdrawn Date","Year Built","Year Roof Installed","SqFt - Guest House","Construction: CBS","Storm Protection: Accordion Shutters","Storm Protection: Impact Glass","Storm Protection: Panel Shutters","Public Remarks","Area","Temp Off Market Date","Garage Spaces","Furnished: Furnished","Subdivision","Terms of Sale","Zip Code","Baths - Total","City","Guest House","High School","Homeowners Assoc","Lot SqFt","Private Pool","Legal Desc","Spa","State/Province","Street #","Tax Year","Taxes","Total Bedrooms","Total Floors/Stories","Total Units in Bldg","Ttl Units in Complex","Original List Price","Unit Floor #","Unit #","Type","Geo Lat","Geo Lon","HOA/POA/COA (Monthly)","Special Assessment","Waterfront","Status","Status Change Date","Subdiv. Amenities: Tennis","Subdiv. Amenities: Pool","Subdiv. Amenities: Manager on Site","Subdiv. Amenities: Fitness Center","Subdiv. Amenities: Elevator","Subdiv. Amenities: Golf Course","Subdiv. Amenities: Clubhouse","Security: Gate - Manned","Security: Gate - Unmanned","Security: Doorman","Security: Lobby","Parking: Garage - Building","Parking: Garage - Detached","Parking: Open","Parking: Covered","Lot Description: < 1/4 Acre","Lot Description: 1 to < 2 Acres","Lot Description: 1/2 to < 1 Acre","Lot Description: 1/4 to 1/2 Acre","Gated Community","Development Name","Listing Agent","Listing Office","Buyer Agent","Buyer Office","Fallthrough Date"
"RX-11144323","9","9","2565 S Ocean Boulevard 1100","1","1","","2025-12-01","299000.00","N","","50434411040001100","","","640.00","640.00","","","1968","","","","","","","Ground-floor 1 bedroom, 1.5 bath unit just steps from the ocean and pool! Drive right up and walk in?easy and convenient living. Featuring tile floors throughout, this clean and move-in-ready condo is located near the Par 4 golf course and only a 1-minute walk to the beach. A perfect coastal getaway or year-round residence!","5004","","0.00","","PALM BEACH WHITEHOUSE","","33480","1.10","Palm Beach","","","M","90.00","No","PALM BEACH WHITE HOUSE NO 3 COND UNIT C-110","","FL","2565","2025","3475.62","1","3.00","45","","299000.00","1.00","1100","CD","26.627229","-80.037759","785.00","No","Yes","A","2025-12-01","","Yes","","Yes","","","","","","","","","","Yes","","","","","","N","","Douglas Rill","Century 21 America's Choice/WPB (404173)","","",""
"RX-11119539","103","103","3170 S Ocean Boulevard 601n","2","0","","2025-08-29","2450000.00","S","","50434426080016010","","","2350.00","2350.00","","","1985","2013","","","","Complete","","Step into this stunning 6th-floor residence at The Enclave's North Building, where southern exposure floods the space with natural light and showcases sweeping views of the ocean, pool, and Intracoastal. This beautifully renovated home features hurricane-impact doors, silver travertine floors, white cabinetry, stainless steel appliances, and upgraded lighting. The Enclave is a pet-friendly oceanfront community offering 24/7 gated security, doormen, a resort-style pool, a new fitness center, renovated lobbies, and a furnished 2BR guest suite for owners.","5004","","1.00","","ENCLAVE OF PALM BEACH COND DECL FILED 2-12-85 IN","","33480","2.00","Palm Beach","","","M","","No","THE ENCLAVE OF PALM BEACH CONDUNIT N-601","","FL","3170","2025","20323.00","2","7.00","","","2450000.00","6.00","601n","CD","26.60536","-80.038288","3516.45","No","Yes","A","2025-08-29","Yes","Yes","Yes","Yes","Yes","","","","","Yes","","Yes","","","","","","","","N","","Dana Koch","The Corcoran Group (404289)","","",""
"RX-11070177","275","275","1740 S Ocean Boulevard","5","1","","2025-03-10","37650000.00","E","","50434411030001041","","","4899.00","5133.00","","","1977","","","Yes","","Complete","","Welcome to 1740 S Ocean Blvd, a gut renovated oceanfront home with spectacular views on Billionaire's Row in the coveted Estate Section. This seaside property features 4 bedrooms and 4.5 bathrooms in the main house, with an additional bedroom and bathroom in the pool cabana guest house. With a vast and secluded pool area, private beach parcel, and private beach deck all just steps to the sand, this stunning, modern beach house boasts high-end finishes and appliances throughout. Sitting on 3/4 of an acre, 1740 S Ocean Blvd is primed for island life, with panoramic ocean views in the front and a very private pool oasis in the back. Plans for a second-story addition adding approximately 3,400 square feet to the home, are available upon request.","5003","","2.00","","PALM BEACH ESTS PB IN","","33480","5.10","Palm Beach","","","N","32234.00","Yes","PALM BEACH ESTATES, S 19 FT OF LT 104 (LESS WLY 188.2 FT & OCEAN BLVD R/W) NLY 93.5 FT OF LT 105 (LESS WLY 186.3 FT AS","","FL","1740","2025","189898.00","5","1.00","","","38650000.00","","","SF","26.656239","-80.037246","","No","Yes","A","2025-03-11","","","","","","","","","","","","","","","","","","Yes","","N","","Margit Brandt","Premier Estate Properties Inc. (273007388)","","",""
"RX-11138692","34","34","2565 S Ocean Boulevard 1180","1","0","","2025-11-06","320000.00","N","","50434411040001180","","","640.00","640.00","","","1968","","","Yes","","Complete","","Beautifully updated 1BR/1BA condo featuring a spacious private terrace with lush green views. This bright and stylish unit offers an open floor plan with modern finishes throughout. Prime location!! Just a short walk to the beach and minutes from world-class shopping and dining in Palm Beach. Perfect for a relaxing getaway or year-round coastal living!","5004","","0.00","","PALM BEACH WHITEHOUSE","","33480","1.00","Palm Beach","N","","M","","No","PALM BEACH WHITEHOUSE NO 3 UNIT C 118 IN OR1655P1084","","FL","2565","2024","3583.41","1","3.00","","","320000.00","1.00","1180","CD","26.627223","-80.037741","852.00","No","No","A","2025-11-06","","Yes","","","","","","","","","","","","Yes","","","","","","N","","Seth Benkaddour","Compass Florida LLC (273007303)","","",""
"RX-11129810","69","69","170 Chilean Avenue 2d","2","0","","2025-10-02","1900000.00","N","","50434326110000024","","","1201.00","1201.00","","","1976","","","Yes","","","","This beautiful in-town apartment offers the perfect blend of comfort and style in a prime Palm Beach location. Just one block from Worth Avenue and steps from the beach, this bright and inviting residence is ideal for effortless island living. The spacious living room opens to a charming balcony, perfect for morning coffee or dining outdoors while enjoying the ocean breeze. The open kitchen flows into a cozy dining area with built-in banquette seating, creating a relaxed and welcoming atmosphere. With two comfortable bedrooms, two well-appointed bathrooms, and generous closet space, this apartment is both functional and stylish. Light-filled and tastefully designed, it's a wonderful Palm Beach retreat in an unbeatable location.","5002","","0.00","","EVERGLADES PLAZA CONDO","","33480","2.00","Palm Beach","","","M","","No","EVERGLADES PLAZA COND UNIT 2-D","","FL","170","2024","18521.90","2","7.00","","","1900000.00","2.00","2d","CD","26.702099","-80.035934","1655.00","No","No","A","2025-10-06","","Yes","","","","","","","","Yes","","","","","Yes","","","","","N","","Somers Laffey","Brown Harris Stevens of PB (276546950)","","",""
"RX-11104223","928","161","274 Monterey Road","3","0","","2025-07-02","8350000.00","N","","50434303130000210","","","2877.00","3406.00","","","1950","","","Yes","","Complete","","Highly sought after North End Bermuda style 3-BR, 3-BA home plus office situated on a 13,500 SqFt Lot. Lush tropical landscaping surrounding pool. Impact windows and doors, full house generator, 2-car air-conditioned garage. Versatile property with option to build new on this 13,500 SqFt Lot or simply maintain the North End Bermuda charm of the existing property. Monterey has lake trail and easy beach access nearby.    The information published and provided including but not limited to prices, measurements, square footages, lot sizes, features, finishes, and calculations are subject to errors, omissions or changes without notice. All such information should be independently verified. All parties should perform their own due diligence to verify all information.","5001","","2.00","","GREGORY ADDN","","33480","3.00","Palm Beach","","","N","13500.00","Yes","GREGORY ADDITION LT 21 & E 55 FT OF LT 23","","FL","274","2024","119650.00","3","1.00","","","8350000.00","","","SF","26.75264","-80.039896","","No","No","A","2025-07-02","","","","","","","","","","","","","","","","","","","Yes","N","","Dovi Ettedgui","The Corcoran Group (404289)","","",""
"FX-10530353","40","40","150 Kings Road","5","1","","2025-10-31","19500000.00","N","","50434335040000140","","","6823.00","","","","2017","2017","","","","Complete","","Welcome to an exquisite Palm Beach estate built in 2017, offering 6,823 sq ft of refined luxury and timeless design. This four-bedroom, five-and-a-half-bath masterpiece blends elegant architecture with impeccable craftsmanship. Step inside to discover soaring ceilings, sun-drenched living spaces, and seamless indoor-outdoor flow ideal for both intimate gatherings and grand entertaining. The gourmet kitchen features top-of-the-line appliances, custom cabinetry, and a spacious island. A striking onyx backlit bar with a wine refrigerator elevates the home's ambiance. Outside, a resort-style pool surrounded by lush tropical landscaping provides a serene private retreat just two blocks from Mar-A-Lago. Experience the pinnacle of Palm Beach sophistication and coastal elegance.","5003","","2.00","","Boulevard Estates","","33480","5.10","Palm Beach","N","","N","14308.00","Yes","BOULEVARD ESTATES-PALM BEACH LT 14","Y","FL","150","2024","96642.00","4","2.00","","","19500000.00","","","SF","26.678687","-80.038177","0.00","","No","A","2025-10-31","","","","","","","","","","","","","","","","","","Yes","","","","Shavendra Roopchand","Compass Florida, LLC (279623020)","","",""
"RX-11140047","15","15","2565 S Ocean Boulevard 108","1","0","","2025-11-12","320000.00","N","","50434411040001080","","","640.00","640.00","","","1968","","","Yes","","","","CALLING ALL INVESTORS & seasonal residents! Turnkey 1BR/1BA oceanfront condo with private beach access! ABLE TO RENT RIGHT AWAY. Fully furnished with King Bed & Queen Murphy bed. Freshly renovated kitchen & bath. New A/C, water heater & updated breaker panel. Move right in or rent immediately. Perfect for investors or savvy buyers. Oceanfront building features pool, fitness center with new brand equipment, and prime location minutes from world-class Palm Beach. Enjoy quiet, resort-style coastal living steps from the Atlantic!","5004","","0.00","Yes","PALM BEACH WHITEHOUSE","","33480","1.00","Palm Beach","N","","M","","No","TOWNHOUSES OF HIGHLAND BEACH COND BLDG NORTH UNIT 108-N","","FL","2565","2024","1290.00","1","1.00","3","","320000.00","1.00","108","CD","26.627223","-80.037741","852.00","No","Yes","A","2025-11-27","","Yes","","","Yes","","","","","","","","","","","","","","","N","","Madison Koufos","Premier Listings (279601023)","","","2025-11-27"
"RX-11121966","93","93","150 Bradley Place 112","2","1","","2025-09-08","6950000.00","W","","50434315270000112","","","1600.00","2502.00","","","1926","","","","","Complete","","Experience waterfront living at the newly renovated Palm Beach Biltmore. This southwest corner residence offers a large private patio with sweeping direct Intracoastal views, perfect for evening sunsets and outdoor entertaining. The two-bedroom, two-and-a-half bath layout has been fully reimagined with a modern design, high ceilings, and a welcoming gallery-style entry. Custom finishes include impact glass doors, a designer kitchen with custom cabinetry and lighting, neutral flooring, pre-wired for a smart home system, and generous storage throughout. Only the finest finishes were installed in this thoughtful brand new home.     The Palm Beach Biltmore has recently undergone a complete transformation, offering residents a five-star lifestyle with a staff of 45,","5002","","1.00","","PALM BEACH BILTMORE CONDO","","33480","2.10","Palm Beach","","","M","","No","PALM BEACH BILTMORE COND UNIT 112-D","","FL","150","2024","44760.20","2","11.00","128","","6950000.00","1.00","112","CD","26.720114","-80.04177","2747.70","Yes","Yes","A","2025-09-08","Yes","Yes","Yes","Yes","Yes","","","","","Yes","Yes","","","","","","","","","N","","Christopher Leavitt","Douglas Elliman (pb802465)","","",""
"RX-11137063","39","39","3230 S Ocean Boulevard D511","2","0","","2025-11-01","850000.00","E","","50434426010005110","","","1176.00","1272.00","","","1968","","","","","Complete","","AMAZING DIRECT OCEAN VIEW AS SOON AS YOU WALK IN! BEAUTIFULLY REMODELED UNIT WITH STUNNING SUNRISE UNOBSTRUCTED VIEWS IN EXCLUSIVE PALM BEACH! THIS UNIT HAS MARBLE FLOORS, NEW KITCHEN, WITH NEW STAINLESS- STEEL APPLIANCES, NEW BATHROOMS WITH A JACUZZI TUB, NEW TANKLESS HOT WATER HEATER, ALL NEW INPACT GLASS WINDOWS, 2 COVERED PARKING SPACES, AND A BEAUTIFUL SNORKELING REEF RIGHT IN FRONT. ALL ASSESMENTS HAVE BEEN PAID AND BUILDING IS LIKE NEW WITH NEW BALCONIES AND FRESH PAINT! MUST SEE TO APPRECIATE, MAKE OFFER. STEP INTO THE REALM OF TIMELESS ELEGANCE AND CONTEMPORY LUXURY AT THE LA RENAISSANCE, A HISTORIC OCEAN FRONT CONDOMINUM IN FAMOUS PALM BEACH.","5004","","0.00","Yes","LA RENAISSANCE Direct Ocean","","33480","2.00","Palm Beach","","","M","0.00","No","LA RENAISSANCE NO 1 UNIT F-511","","FL","3230","2024","8166.96","2","6.00","72","72.00","850000.00","5.00","D511","CD","26.60367","-80.037525","1382.00","No","Yes","A","2025-11-01","","Yes","","","","","","","","","Yes","","","","Yes","","","","","N","","Peter Muller","Coastline Realty, Inc. (404243)","","",""
"RX-11133679","51","51","300 S Ocean Boulevard 2e","2","0","","2025-10-20","2495000.00","N","","50434323260002050","","","1429.00","1429.00","","","1960","","","Yes","","Complete","","Beautifully renovated in-town apartment at the historic direct ocean front building, 300 South Ocean Boulevard. Palm Beach living at its finest in this full service building. Enter into a wide open and bright oversized living and dining room. The kitchen features new appliances, induction cooktop, marble countertops, backsplash, and custom solid wood cabinetry with soft-close hardware. A newly built closet includes a ventless washer and dryer for added convenience. Both bathrooms showcase marble finishes, premium Grohe and Hansgrohe fixtures, and custom vanities, highlighted by a lighted Cristallo countertop and smart Toto toilet in the primary suite. Additional upgrades include impact windows and doors, new lighting and dimmers throughout and glass hardware.","5002","","1.00","","THREE HUNDRED OCEAN BLVD APTS INC","","33480","2.00","Palm Beach","","","M","51635.00","No","THREE HUNDRED SOUTH OCEAN BLVD APTS APT 2-E","","FL","300","2024","25681.00","2","6.00","45","","2495000.00","2.00","2e","CD","26.704757","-80.033728","3672.14","No","No","A","2025-10-20","","","","Yes","","","","","","Yes","","Yes","","","","","Yes","","","N","","Christopher Leavitt","Douglas Elliman (pb802465)","","",""
"RX-11134431","51","51","264 Dunbar Road","6","3","","2025-10-20","19900000.00","N","","50434314070000580","","","5993.00","6973.00","","","2025","","","Yes","","","","Spectacular under construction In-Town estate. Purchase as-is and customize. Situated on an oversized lot on the highly sought-after Dunbar Road. Plans include: approximately 6,800 square feet and 6BR/6.3BA plus library. Double height foyer opens to formal living room. Spacious family room with fireplace and wet bar. Fabulous eat-in chef's kitchen leads to large formal dining room with wine cellar. Fabulous outdoor spaces with private courtyard pool. Expansive second floor primary wing. Additional highlights include pool cabana, elevator, and 3-car garage with option for a lift. Asking price will change as work is completed.","5002","","3.00","","ADAMS","","33480","6.30","Palm Beach","","","N","19646.00","Yes","ADAMS ADDITION LT 58","","FL","264","2024","41824.60","6","2.00","","","19900000.00","","","SF","26.724115","-80.040675","","No","No","A","2025-10-22","","","","","","","","","","","","","","","","","","","","N","","Christian Angle","Christian Angle Real Estate (800649)","","",""
"RX-11123985","86","86","2185 Ibis Isle Road 7","2","0","","2025-09-15","1095000.00","E","","50434415260000070","","","1168.00","1168.00","","","1969","","","","","Complete","","Newly Renovated Chateau Chantilly Ibis Isle Condo with stunning lagoon views from all rooms. Renovation includes wood floors throughout and a new modern kitchen.    ***Building has undergone a complete renovation, fully compliant with all State mandates!","5004","","0.00","","CHATEAU CHANTILLY IBIS ISLE CONDO","","33480","2.00","Palm Beach","","","M","","No","CHATEAU CHANTILLY-IBIS ISLE SUITE 7 & INT IN REC AREA","","FL","2185","2024","2760.73","2","3.00","","","1095000.00","2.00","7","CD","26.639955","-80.041181","1152.77","No","Yes","A","2025-09-15","","Yes","","","","","","","","","","","","","","","","","","N","","Allison Wren","The Corcoran Group (404289)","","",""
